"output","barkbeetle","decomposition","establishment","rep","cumNEP","totalC","liveC","deadWoodyC","litterC","soilC"
"scen_010",FALSE,TRUE,FALSE,4,0.811961462630708,0.8742202979727,0.319297206955305,0.543065153246302,0.955590661673389,0.990402794467875
"scen_010",FALSE,TRUE,FALSE,5,0.812570934733927,0.857903953395622,0.277423820725953,0.552828887399909,0.93824544463848,0.989888115698774
"scen_010",FALSE,TRUE,FALSE,6,0.745209943228549,0.687610604016747,-0.266819522311555,0.684738038629473,0.879760694399034,0.956963648705345
"scen_010",FALSE,TRUE,FALSE,7,0.65662937859243,0.646181970707517,-0.308549672347523,0.660621799973258,0.829137943453212,0.948369789533822
"scen_010",FALSE,TRUE,FALSE,8,0.718101575365609,0.830725459345493,0.390254467890741,0.418241606343675,0.907674933311115,0.969500614693666
"scen_010",FALSE,TRUE,FALSE,9,0.782564225291582,0.828241100400862,0.31703851485039,0.503145674986825,0.886045000157706,0.955449924902508
"scen_011",FALSE,TRUE,TRUE,1,0.718320628298438,0.734017557073877,-0.264564027669984,0.788505126103352,0.884296803747173,0.966788852176656
"scen_011",FALSE,TRUE,TRUE,10,0.700976188126429,0.724895009840175,-0.213604070694723,0.69479631820118,0.902544804213221,0.984343325531852
"scen_011",FALSE,TRUE,TRUE,2,0.732900245161739,0.749752313216563,0.0716873236428393,0.537867427791348,0.873788523780815,0.956055197243577
"scen_011",FALSE,TRUE,TRUE,3,0.799850510064456,0.855785472450803,0.441142178603174,0.442468444201347,0.914804894538537,0.95072684126556
"scen_011",FALSE,TRUE,TRUE,4,0.854231604143676,0.864170698023016,0.242886349010452,0.568220450500753,0.958275307593936,1.01543571254827
"scen_011",FALSE,TRUE,TRUE,5,0.787430707296951,0.829967053683649,0.0969708713013813,0.659024354803092,0.927098579884503,0.98319280983225
"scen_011",FALSE,TRUE,TRUE,6,0.852901966320353,0.782229486410142,-0.0537153515027779,0.662526703350527,0.933383247699242,0.997165905662728
"scen_011",FALSE,TRUE,TRUE,7,0.658527830100083,0.679969285677862,-0.201367906162976,0.649563352593929,0.839744219732705,0.934883624671872
"scen_011",FALSE,TRUE,TRUE,8,0.531176324150074,0.658186696585547,-0.373913425388212,0.693886060506507,0.851181345931349,1.0074710657224
"scen_011",FALSE,TRUE,TRUE,9,0.784620147143411,0.790541624636039,0.0973778352765296,0.619361284296562,0.874161957909758,0.95119555340578
"scen_100",TRUE,FALSE,FALSE,1,0.176676312970136,0.163905643128943,0.802479459039853,-0.34943388446903,0.0478585668725587,-0.00343398444923573
"scen_100",TRUE,FALSE,FALSE,10,0.126441167784671,0.0900589017265559,0.419053479710378,-0.173298126370086,0.0343934502800076,-0.00856423341122348
"scen_100",TRUE,FALSE,FALSE,2,0.154740701026952,0.145094884300376,0.755395494042727,-0.331569404541972,0.0333565635532511,-0.0209041269282896
"scen_100",TRUE,FALSE,FALSE,3,0.283510763416131,0.320189110152016,1.41313942076574,-0.551900237022159,0.102550255440214,-0.00249932949110203
"scen_100",TRUE,FALSE,FALSE,4,0.0973414945537893,0.126384498530421,0.560716788154138,-0.219865146291232,0.0351231961751258,0.00358579372740956
