"rep","group","disturbance","patch","Rh_Mg_ha","beetle_generations_ha","sap_count_ha","sap_count_ha_piab","sap_count_ha_lade","sap_count_ha_pice","sap_count_ha_soau","sap_count_ha_pimu","sap_count_ha_acps","sap_count_ha_saca","sap_count_ha_pisy","sap_count_ha_soar","sap_count_ha_potr","sap_count_ha_fasy","sap_count_ha_bepe","sap_count_ha_frex","sap_count_ha_ulgl","sap_count_ha_acpl","sap_count_ha_tico","sap_count_ha_abal","sap_count_ha_quro","sap_count_ha_poni","sap_count_ha_alvi","sap_count_ha_alin","sap_count_ha_qupe","sap_count_ha_algl","sap_count_ha_coav","sap_count_ha_cabe","sap_count_ha_tipl","area_ha"
2,"macroclimate","postdisturbance",3,6.84159854751472,2,46328.1651949883,17500.8881225586,6203.81265258789,0,10399.4148178101,0,2779.27629089355,7353.45761108398,0,32.7550659179688,0,320.505847930908,108.05242061615,0,0,0,0,1627.10137176514,0,0,2.90099382400513,0,0,0,0,0,0,1
2,"macroclimate","postdisturbance",4,7.35725545580508,2.25,50475.2963893414,18103.9861907959,6024.6622543335,0,11635.6889476776,0,1086.68779754639,6277.29804039001,0,69.5742263793944,0,3986.62850093842,638.970542907715,0,0,98.8790845870972,0,2355.99387645722,0,196.92692732811,0,0,0,0,0,0,0,4
2,"macroclimate","postdisturbance",5,7.69331877443134,2.5,39308.332085371,10040.6734390259,3541.33657646179,0,2182.06677341461,0,2595.97714233398,3892.05580711365,332.975246906281,2065.4378528595,0,8495.89841461181,87.5710802078246,1704.295753479,0,0,0,2046.99026679993,0,2060.28162384033,0,259.793549776077,0,2.97855854034424,0,0,0,4
2,"macroclimate","postdisturbance",6,7.19872027887305,2.42857142857143,43689.5845541358,16329.0868879046,6277.3527570452,0,3688.285887037,0,1379.81337084089,7493.30859375,0,402.898278687682,0,4459.07365199498,375.847958156041,161.222721040249,0,0,8.8944918002401,1719.05022948129,0,1309.41552734375,0,85.3341990539006,0,0,0,0,0,7
2,"macroclimate","postdisturbance",7,8.50647535455554,2.5,62096.2827934027,22895.0635375977,3277.66302490234,0,5398.66106796265,0,6027.37976074219,5321.26953125,393.183792233467,3060.08394622803,0,10143.2993774414,1.09340596199036,2424.43083190918,0,0,0,2212.8176279068,0,648.77548789978,0,266.347537994385,0,26.2138633728027,0,0,0,1
2,"macroclimate","postdisturbance",8,8.35456544241534,2.5,46612.8512149453,16030.7663472493,4206.72199503581,0,3936.1309261322,0,808.525551478067,5069.29795074463,70.1317319869995,828.812926610311,0,13785.3476460775,0,751.897029876708,329.618293404579,114.858489751816,0,470.031153519948,0,80.7344770431518,107.450404028098,20.6271270910899,0,1.89916491508484,0,0,0,6
2,"macroclimate","postdisturbance",9,8.28977832810025,2.5,32447.4573164955,20399.8371658325,5289.58409309387,0,954.914839804173,0,1150.15703010559,538.126845210791,2.84252705425023,64.7427072525024,0,3711.3291708231,0.153232410550117,150.92698982358,0,0,0,177.232253074646,0.378872394561768,0,0,0,0.356476604938508,6.8751130104065,0,0,0,8
2,"macroclimate","postdisturbance",10,9.57016151681917,2.16666666666667,38425.9499575297,14868.8488769531,5013.56257120768,0,3951.69874191284,0,2282.74482727051,469.866643269857,0,905.601861635843,0,10302.4389343262,1.54495048522949,284.722182591756,0,0,0,344.920367876689,0,0,0,0,0,0,0,0,0,3
2,"macroclimate","postdisturbance",11,6.95486655590511,2,49546.9819997549,11991.569519043,8998.3618927002,0,18739.6976089478,30.9483051300049,2921.03030395508,4310.20133209229,0,0,0,0,0,0,0,0,0,91.459762573242,0,1.06167542934418,2462.65159988403,0,0,0,0,0,0,2
2,"macroclimate","postdisturbance",12,10.0083471133022,2.5,58146.2682949305,10943.8148803711,3198.01928710938,0,1755.98229980469,0,1814.58534240723,89.8359146118164,0,2554.24186038971,0,36825.1655883789,0,590.824142456055,0,0,373.798979401588,0,0,0,0,0,0,0,0,0,0,1
