"year","group","NEP_Mg_ha","cumNEP_Mg_ha","total_C_Mg_ha","live_C_Mg_ha","deadWoody_C_Mg_ha","litter_C_Mg_ha","soil_C_Mg_ha","killedVolume_beetles","killedVolume_wind","killedVolume_total","ba_m2_ha_abal","ba_m2_ha_acpl","ba_m2_ha_acps","ba_m2_ha_algl","ba_m2_ha_alin","ba_m2_ha_alvi","ba_m2_ha_bepe","ba_m2_ha_cabe","ba_m2_ha_coav","ba_m2_ha_fasy","ba_m2_ha_frex","ba_m2_ha_lade","ba_m2_ha_piab","ba_m2_ha_pice","ba_m2_ha_pimu","ba_m2_ha_pisy","ba_m2_ha_poni","ba_m2_ha_potr","ba_m2_ha_qupe","ba_m2_ha_quro","ba_m2_ha_saca","ba_m2_ha_soar","ba_m2_ha_soau","ba_m2_ha_tico","ba_m2_ha_tipl","ba_m2_ha_ulgl"
72,"macroclimate",0.2371271032981,31.1486839363814,306.083693475348,130.88423730416,25.4473679327971,17.8565901001123,131.895498138279,285384.431435797,333730.919053009,619115.350488806,0.42642144422466,2.01648290413002e-05,0.114004133237279,5.60415943286741e-06,4.53933781831524e-06,0.000291763574819561,0.00792102731897125,8.48808387916663e-07,9.95419760928291e-09,3.93660194251516,0.00450185326285373,4.54869833233019,23.1082994368849,0.632810565682453,0,0.000469524576959741,0.000638269997759838,8.10062193514042e-06,3.89357798374556e-05,0.000130150251804374,0.00139976000604469,0.00990149047380868,0.016661045111719,0.000658196762439052,3.22612700993651e-07,0.000290401674860642
72,"microclimate",0.304103797761173,40.5435799384724,315.338677509802,134.147619215898,26.2084766840451,19.2138514157276,135.768730194132,151806.169734819,331692.021385959,483498.191120778,0.384367114685822,5.12309573670311e-06,0.0859196873929261,1.63646643977372e-06,1.25150266693872e-06,0.000337284557604472,0.0101475924290295,1.97791553431027e-07,0,3.67489085745028,0.00220708227303027,4.5297058580825,24.005777324202,0.630271665241641,0,0.000467393284875688,8.33133928423862e-05,9.51216444977609e-06,2.83734948142573e-05,9.69247813633012e-05,0.00147004435903884,0.00922239030008913,0.0149056339046456,0.000634588479061369,1.87055829881958e-07,0.000225479813893697
73,"macroclimate",0.30521934611443,31.4539032824959,306.387176694977,130.885863501454,25.6560325951526,17.8512254237759,131.994055174595,289840.433237004,343810.863969713,633651.297206716,0.429353620505425,1.9657821672357e-05,0.113983731938203,5.19250197023086e-06,4.00245496123415e-06,0.000312279603026169,0.00790585477686737,7.94871448157032e-07,0,3.9536576499065,0.00434465972327081,4.52480159159892,23.1192889945366,0.629941012539133,0,0.000456876932593632,0.000640088650530295,8.56211418809466e-06,3.84519742639026e-05,0.000125388894883487,0.00146149464989407,0.0100072458257998,0.0169362035469403,0.000648148975993203,3.1169083329967e-07,0.000279301737491182
73,"microclimate",0.373142593607277,40.9167225320796,315.706757370556,134.147973470653,26.4373480880536,19.212311778589,135.90912403326,153929.807719996,342521.109182857,496450.916902853,0.385729657092584,4.96092145632384e-06,0.0854936439092692,1.45643344503079e-06,1.26080857614549e-06,0.000357714638891423,0.0102420480193648,1.99525865157974e-07,1.08467822568172e-08,3.68478537044165,0.0021112498222054,4.50680798961397,24.0191656060548,0.62764219968861,0,0.000444347328288854,8.29354799430579e-05,1.02287274816906e-05,2.78842424118331e-05,9.08778778076034e-05,0.00151275527480991,0.00929521829919222,0.0150890500086702,0.00061890044969249,1.87473892032507e-07,0.000219166673803756
74,"macroclimate",0.204895461554226,31.6587987440501,306.586692868289,131.017088089949,25.574859724041,17.9003305542059,132.094414500093,294059.885064197,345873.304990399,639933.190054596,0.431900180523504,1.90035287728388e-05,0.113468278731383,4.63801122452753e-06,3.25692406736647e-06,0.000323549366249126,0.00785883786469518,8.0548916523995e-07,0,3.96608852037883,0.00414565631141422,4.50449854997078,23.1511961939981,0.62631556720749,0,0.00043491670693118,0.000632336092723861,8.9243128200898e-06,3.83324779180503e-05,0.000123442358687786,0.00148199999877688,0.0099940626910076,0.0169628056759152,0.00063231163258183,3.13267286762935e-07,0.000269149277429834
74,"microclimate",0.267616625050861,41.1843391571305,315.967278718399,134.310886932843,26.3427671655136,19.2625155266682,136.051109093374,155744.958998053,344727.568180268,500472.527178321,0.386907477177603,4.63631329094425e-06,0.084681355580346,1.31409807501896e-06,1.06640967688584e-06,0.000372419292934272,0.0103129983225088,2.00409350204364e-07,0,3.69051795510556,0.00199150023504856,4.48787666360749,24.0585089964863,0.623905825384549,0,0.00043155943932019,8.19449961035456e-05,1.09768491091911e-05,2.78012410676341e-05,8.65756513788054e-05,0.00151401017565217,0.00927699117275731,0.0150511690116597,0.000601375097477947,1.87473892032507e-07,0.000209945089463984
75,"macroclimate",0.203855677498928,31.862654421549,306.789091627797,131.0637033302,25.6450338595489,17.8825418119558,132.197812626092,298378.638239409,352104.868087085,650483.506326494,0.434570144826178,1.81750842688059e-05,0.112884779641446,4.06373213655691e-06,3.11600394913728e-06,0.000334938458880907,0.00781906093991229,7.75219304551316e-07,0,3.98114189756145,0.00396361579625357,4.48817226056107,23.1722933309854,0.622397399578725,0,0.000415463016135075,0.000627967802256375,9.04773315184116e-06,3.81947281102019e-05,0.000117732613406192,0.00151329654277301,0.0099462323641472,0.0170439935122266,0.000626302788010796,3.00345673082108e-07,0.00025897874009881
75,"microclimate",0.277343265718584,41.461682422849,316.239387961253,134.383973466359,26.4088437703904,19.2502275804593,136.196343144044,157534.441723348,351031.02139433,508565.463117678,0.388148162619357,4.1648526776206e-06,0.0837333086607402,1.1587778294137e-06,1.00815193139981e-06,0.000387526742548861,0.0103773299001953,2.021659240741e-07,0,3.69819359718478,0.00187869501913975,4.47272222467039,24.0873821661665,0.620284477631894,0,0.000419711686350721,8.11560576945131e-05,1.16759127533801e-05,2.77637342000499e-05,8.38896471357891e-05,0.00153296002426751,0.00925365650568014,0.0150779687509885,0.000577820590089606,1.88551118835684e-07,0.000200930655837347
76,"macroclimate",0.0379422720143477,31.9005966935634,306.8221520199,130.739044767243,25.9270664472643,17.8375807310645,132.318460074328,302114.507907239,367945.484330644,670059.992237883,0.436541476256036,1.77746947020768e-05,0.112543457296692,3.84101402742231e-06,2.93537143177186e-06,0.000346352449690846,0.00778529152626952,7.2529225881777e-07,0,3.99337418506238,0.0038275855035244,4.45836729495672,23.1103508958707,0.618151073617802,0,0.000401521646497118,0.000633615723595536,9.98444283208945e-06,3.7577478542273e-05,0.00011279285751425,0.00152371704806436,0.0100056185650985,0.0172931474572541,0.000605134751542461,3.17249573913797e-07,0.000253805701542246
76,"microclimate",0.131593436315153,41.5932758591642,316.362352835612,134.135215014173,26.663273876837,19.207901608038,136.355962336564,159132.365407484,365507.272094297,524639.637501781,0.388668035902419,3.92063871666151e-06,0.0828713010608789,9.87236094332354e-07,8.66573223701427e-07,0.00040350760300548,0.0104387681935077,2.02874917019739e-07,1.20682531943905e-08,3.70432811740031,0.00178624658268731,4.44503558684103,24.0425404171076,0.616031672673115,0,0.000400187389135631,8.00763591679789e-05,1.22621800355907e-05,2.72466156870738e-05,8.15384662638801e-05,0.0015216176375263,0.00931489552861712,0.0152439426185264,0.00057116966091685,1.90255510151525e-07,0.000192968461831087
